24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),Column 1,Date,Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),Trips over the past 24-hours (midnight to 11:59pm)
123,7,,1/1/2018,11483,253490,5499
125,12,,1/2/2018,39352,253558,18818
164,4,,1/3/2018,42853,253591,24299
2,1,,1/4/2018,5328,253604,1922
14,0,,1/5/2018,14303,253614,4972
9,2,,1/6/2018,9479,253624,4294
41,4,,1/7/2018,9387,253640,5640
45,4,,1/8/2018,31294,253661,15820
112,17,,1/9/2018,50981,253690,25090
142,18,,1/10/2018,50218,253720,28252
244,15,,1/11/2018,66584,253757,33961
152,16,,1/12/2018,46403,253786,22252
355,31,,1/13/2018,30418,253809,17758
183,9,,1/14/2018,32949,253827,12394
150,8,,1/15/2018,41770,253857,17637
189,13,,1/16/2018,60053,253895,30278
52,12,,1/17/2018,36319,253921,19010
92,18,,1/18/2018,52573,253952,27662
216,15,,1/19/2018,50322,253983,30525
1044,41,,1/20/2018,59336,254025,28507
1013,26,,1/21/2018,61571,254092,27908
345,25,,1/22/2018,68638,254144,36864
179,19,,1/23/2018,63693,254191,28796
232,32,,1/24/2018,69596,254236,36078
181,16,,1/25/2018,51927,254263,31147
313,23,,1/26/2018,61857,254301,33073
1415,41,,1/27/2018,70146,254368,34348
334,22,,1/28/2018,38221,254415,20100
274,33,,1/29/2018,68868,254466,36799
114,15,,1/30/2018,59260,254492,27996
141,19,,1/31/2018,54440,254539,31276
212,27,,2/1/2018,66984,254590,35561
129,18,,2/2/2018,50427,254620,26313
263,23,,2/3/2018,40020,254640,18385
224,7,,2/4/2018,35121,254670,13959
193,21,,2/5/2018,56061,254725,29068
160,18,,2/6/2018,68060,254760,34102
30,4,,2/7/2018,31573,254781,15289
168,20,,2/8/2018,60985,254806,31563
223,25,,2/9/2018,57070,254833,31567
343,26,,2/10/2018,37641,254857,16323
85,2,,2/11/2018,21167,254877,8809
339,40,,2/12/2018,68283,254922,35138
252,31,,2/13/2018,69420,254968,35189
408,39,,2/14/2018,80081,255002,39591
501,28,,2/15/2018,88474,255044,44193
316,37,,2/16/2018,57219,255088,29191
537,51,,2/17/2018,38834,255118,17921
938,40,,2/18/2018,50512,255151,21537
553,50,,2/19/2018,62150,255217,25677
906,85,,2/20/2018,98129,255306,44478
1596,77,,2/21/2018,118306,255430,53110
147,18,,2/22/2018,54857,255485,27010
165,22,,2/23/2018,49639,255534,25633
956,51,,2/24/2018,61251,255597,25550
231,18,,2/25/2018,34052,255654,16149
448,54,,2/26/2018,84614,255747,42570
664,48,,2/27/2018,107682,255836,48514
637,52,,2/28/2018,100855,255944,50707
